epoch,train_total,train_mse,train_hungarian,val_total,val_mse,val_hungarian
0,0.290743,0.211773,0.157939,0.193402,0.150104,0.086595
1,0.202416,0.153337,0.098159,0.178367,0.138265,0.080205
2,0.188686,0.142485,0.092403,0.177568,0.133832,0.087473
3,0.183253,0.137975,0.090555,0.171231,0.132723,0.077016
4,0.180486,0.135728,0.089515,0.170171,0.132192,0.075959
5,0.179032,0.134495,0.089072,0.169102,0.130982,0.076239
6,0.179666,0.134766,0.0898,0.169309,0.131224,0.076168
7,0.178258,0.133489,0.089538,0.170465,0.130315,0.0803
8,0.176847,0.132308,0.089079,0.16988,0.131284,0.077193
9,0.175513,0.131213,0.088599,0.170158,0.128959,0.082398
10,0.174421,0.130305,0.088233,0.168298,0.128798,0.078999
11,0.173443,0.129502,0.08788,0.167605,0.12969,0.07583
12,0.172475,0.128724,0.087504,0.167889,0.129133,0.077512
13,0.172036,0.128358,0.087356,0.168015,0.128507,0.079016
14,0.172983,0.128933,0.0881,0.167733,0.130167,0.075131
15,0.172692,0.128734,0.087914,0.168797,0.129369,0.078857
16,0.171652,0.127891,0.087524,0.168257,0.129454,0.077605
17,0.170677,0.127131,0.087093,0.171073,0.129728,0.08269
18,0.169548,0.126254,0.086588,0.168838,0.1294,0.078877
19,0.168297,0.125274,0.086046,0.169058,0.128894,0.080329